[2025-05-11 22:25:38,675] - INFO - core - Loading object from: 'final_model/final_inference_model.joblib'
[2025-05-11 22:26:38,645] - INFO - core - YAML loaded successfully from: 'config/config.yaml'
[2025-05-11 22:26:38,653] - INFO - core - YAML loaded successfully from: 'config/params.yaml'
[2025-05-11 22:26:38,656] - INFO - core - YAML loaded successfully from: 'config/schema.yaml'
[2025-05-11 22:26:38,660] - INFO - core - YAML loaded successfully from: 'config/templates.yaml'
[2025-05-11 22:26:38,660] - INFO - training_pipeline - ========== Training Pipeline Started ==========
[2025-05-11 22:26:38,660] - INFO - data_ingestion - ========== Starting Data Ingestion ==========
[2025-05-11 22:26:39,036] - INFO - mongodb_handler - MongoClient initialized.
[2025-05-11 22:26:42,179] - INFO - mongodb_handler - Exported 22110 documents from network_security_db.phishing_records as DataFrame.
[2025-05-11 22:26:42,257] - INFO - mongodb_handler - MongoClient connection closed.
[2025-05-11 22:26:42,257] - INFO - data_ingestion - Fetched 22110 raw rows from data source.
[2025-05-11 22:26:42,261] - INFO - core - Created directory for Raw Data: 'artifacts/2025_05_11T21_17_47Z/data_ingestion/featurestore'
[2025-05-11 22:26:42,341] - INFO - core - Raw Data saved to: 'artifacts/2025_05_11T21_17_47Z/data_ingestion/featurestore/raw_data.csv'
[2025-05-11 22:26:42,341] - INFO - core - Directory already exists for Raw Data: 'data/raw'
[2025-05-11 22:26:42,428] - INFO - core - Raw Data saved to: 'data/raw/raw_data.csv'
[2025-05-11 22:26:42,428] - INFO - data_ingestion - Raw DataFrame cleaned successfully.
[2025-05-11 22:26:42,428] - INFO - core - Created directory for Cleaned (Ingested) Data: 'artifacts/2025_05_11T21_17_47Z/data_ingestion/ingested'
[2025-05-11 22:26:42,499] - INFO - core - Cleaned (Ingested) Data saved to: 'artifacts/2025_05_11T21_17_47Z/data_ingestion/ingested/ingested_data.csv'
[2025-05-11 22:26:42,499] - INFO - data_ingestion - ========== Data Ingestion Completed ==========
[2025-05-11 22:26:42,541] - INFO - core - Ingested Data loaded from: 'artifacts/2025_05_11T21_17_47Z/data_ingestion/ingested/ingested_data.csv'
[2025-05-11 22:26:42,568] - INFO - core - Validated Base Data loaded from: 'data/validated/validated_data.csv'
[2025-05-11 22:26:42,568] - INFO - data_validation - Running data validation...
[2025-05-11 22:26:42,569] - INFO - data_validation - Schema hash check passed.
[2025-05-11 22:26:42,570] - INFO - core - Created directory for Missing Value Report: 'artifacts/2025_05_11T21_17_47Z/data_validation/reports'
[2025-05-11 22:26:42,570] - INFO - core - Missing Value Report saved to: 'artifacts/2025_05_11T21_17_47Z/data_validation/reports/missing_values_report.json'
[2025-05-11 22:26:42,581] - INFO - core - Directory already exists for Duplicates Report: 'artifacts/2025_05_11T21_17_47Z/data_validation/reports'
[2025-05-11 22:26:42,582] - INFO - core - Duplicates Report saved to: 'artifacts/2025_05_11T21_17_47Z/data_validation/reports/duplicates_report.yaml'
[2025-05-11 22:26:42,607] - INFO - core - Directory already exists for Drift Result: 'artifacts/2025_05_11T21_17_47Z/data_validation/reports'
[2025-05-11 22:26:42,611] - INFO - core - Drift Result saved to: 'artifacts/2025_05_11T21_17_47Z/data_validation/reports/drift_report.yaml'
[2025-05-11 22:26:42,612] - INFO - core - Directory already exists for Validation Report: 'artifacts/2025_05_11T21_17_47Z/data_validation/reports'
[2025-05-11 22:26:42,613] - INFO - core - Validation Report saved to: 'artifacts/2025_05_11T21_17_47Z/data_validation/reports/validation_report.yaml'
[2025-05-11 22:26:42,613] - INFO - core - Created directory for Validated Data: 'artifacts/2025_05_11T21_17_47Z/data_validation/validated'
[2025-05-11 22:26:42,624] - INFO - core - Validated Data saved to: 'artifacts/2025_05_11T21_17_47Z/data_validation/validated/validated_data.csv'
[2025-05-11 22:26:42,624] - INFO - core - Directory already exists for Validated Data: 'data/validated'
[2025-05-11 22:26:42,652] - INFO - core - Validated Data saved to: 'data/validated/validated_data.csv'
[2025-05-11 22:26:42,677] - INFO - core - Validated Data loaded from: 'artifacts/2025_05_11T21_17_47Z/data_validation/validated/validated_data.csv'
[2025-05-11 22:26:42,677] - INFO - data_transformation - ========== Starting Data Transformation ==========
[2025-05-11 22:26:42,711] - INFO - core - Created directory for X Preprocessor Pipeline: 'artifacts/2025_05_11T21_17_47Z/data_transformation/preprocessor'
[2025-05-11 22:26:42,713] - INFO - core - X Preprocessor Pipeline saved to: 'artifacts/2025_05_11T21_17_47Z/data_transformation/preprocessor/x_preprocessor.joblib'
[2025-05-11 22:26:42,713] - INFO - core - Directory already exists for Y Preprocessor Pipeline: 'artifacts/2025_05_11T21_17_47Z/data_transformation/preprocessor'
